,time,open,high,low,close,volume
0,2024-06-03 00:00:00+00:00,2328.79,2329.52,2323.34,2327.17,6289
1,2024-06-03 04:00:00+00:00,2327.16,2331.06,2320.06,2321.41,14095
2,2024-06-03 08:00:00+00:00,2321.41,2328.88,2314.77,2325.52,17566
3,2024-06-03 12:00:00+00:00,2325.53,2334.4,2324.37,2334.07,16699
4,2024-06-03 16:00:00+00:00,2334.03,2349.94,2329.89,2349.27,21567
5,2024-06-03 20:00:00+00:00,2349.2,2354.76,2344.75,2350.45,11867
6,2024-06-04 00:00:00+00:00,2351.9,2352.83,2349.81,2350.65,4830
7,2024-06-04 04:00:00+00:00,2350.64,2352.41,2343.34,2349.37,12827
8,2024-06-04 08:00:00+00:00,2349.37,2351.74,2332.36,2333.32,16869
9,2024-06-04 12:00:00+00:00,2333.4,2335.97,2325.42,2335.14,18873
10,2024-06-04 16:00:00+00:00,2335.14,2337.96,2315.62,2324.01,21800
11,2024-06-04 20:00:00+00:00,2323.97,2330.32,2323.74,2326.79,11841
12,2024-06-05 00:00:00+00:00,2326.69,2329.6,2326.64,2328.22,4375
13,2024-06-05 04:00:00+00:00,2328.26,2338.26,2325.92,2338.05,12306
14,2024-06-05 08:00:00+00:00,2338.06,2341.7,2328.14,2332.66,16382
15,2024-06-05 12:00:00+00:00,2332.67,2343.94,2329.57,2342.2,16004
16,2024-06-05 16:00:00+00:00,2342.04,2357.41,2334.24,2352.67,21606
17,2024-06-05 20:00:00+00:00,2352.67,2356.67,2351.75,2355.13,10282
18,2024-06-06 00:00:00+00:00,2356.8,2357.79,2354.62,2355.76,4602
19,2024-06-06 04:00:00+00:00,2355.73,2374.98,2355.62,2369.49,15916
20,2024-06-06 08:00:00+00:00,2369.48,2371.46,2359.81,2362.98,14159
21,2024-06-06 12:00:00+00:00,2362.97,2365.06,2355.32,2357.59,13904
22,2024-06-06 16:00:00+00:00,2357.61,2378.5,2353.44,2372.9,20941
23,2024-06-06 20:00:00+00:00,2372.91,2376.18,2368.88,2375.68,11488
24,2024-06-07 00:00:00+00:00,2376.34,2379.28,2375.67,2378.45,4791
25,2024-06-07 04:00:00+00:00,2378.49,2387.49,2369.47,2386.55,15003
26,2024-06-07 08:00:00+00:00,2386.59,2387.69,2343.01,2347.37,18711
27,2024-06-07 12:00:00+00:00,2347.36,2347.99,2313.31,2319.33,20339
28,2024-06-07 16:00:00+00:00,2319.31,2328.08,2303.1,2311.67,26230
29,2024-06-07 20:00:00+00:00,2311.71,2312.31,2286.71,2293.38,14164
30,2024-06-10 00:00:00+00:00,2294.71,2300.01,2289.4,2297.06,7161
