,time,open,high,low,close,volume
0,2025-11-19 22:00:00+00:00,4073.65,4074.91,4072.99,4074.25,82
1,2025-11-19 22:01:00+00:00,4074.27,4075.11,4072.31,4072.8,89
2,2025-11-19 22:02:00+00:00,4073.02,4073.89,4072.27,4073.5,86
3,2025-11-19 22:03:00+00:00,4073.46,4073.94,4072.37,4073.15,82
4,2025-11-19 22:04:00+00:00,4072.81,4073.95,4072.81,4073.4,79
5,2025-11-19 22:05:00+00:00,4073.52,4074.75,4073.36,4073.9,81
6,2025-11-19 22:06:00+00:00,4073.9,4077.98,4073.63,4076.7,80
7,2025-11-19 22:07:00+00:00,4076.72,4076.85,4075.06,4075.68,73
8,2025-11-19 22:08:00+00:00,4075.65,4076.63,4075.5,4076.62,75
9,2025-11-19 22:09:00+00:00,4076.47,4076.83,4075.35,4075.62,75
10,2025-11-19 22:10:00+00:00,4075.88,4076.54,4073.68,4074.98,85
11,2025-11-19 22:11:00+00:00,4074.75,4075.74,4074.49,4074.83,75
12,2025-11-19 22:12:00+00:00,4074.84,4075.06,4074.05,4074.3,81
13,2025-11-19 22:13:00+00:00,4074.23,4074.62,4073.45,4074.62,81
14,2025-11-19 22:14:00+00:00,4074.61,4076.03,4074.61,4075.6,74
15,2025-11-19 22:15:00+00:00,4075.82,4079.05,4075.82,4078.93,84
16,2025-11-19 22:16:00+00:00,4078.9,4079.59,4078.74,4079.36,86
17,2025-11-19 22:17:00+00:00,4079.42,4080.24,4077.99,4079.18,83
18,2025-11-19 22:18:00+00:00,4079.16,4080.1,4078.86,4080.1,67
19,2025-11-19 22:19:00+00:00,4080.17,4081.44,4080.17,4080.89,85
20,2025-11-19 22:20:00+00:00,4081.15,4082.11,4080.82,4080.82,83
21,2025-11-19 22:21:00+00:00,4080.78,4081.05,4078.72,4079.08,83
22,2025-11-19 22:22:00+00:00,4079.1,4079.48,4078.04,4078.73,81
23,2025-11-19 22:23:00+00:00,4078.95,4079.43,4077.08,4077.08,80
24,2025-11-19 22:24:00+00:00,4077.23,4078.55,4076.67,4077.85,81
25,2025-11-19 22:25:00+00:00,4077.69,4077.69,4075.94,4076.14,84
26,2025-11-19 22:26:00+00:00,4076.12,4078.5,4076.12,4078.24,85
27,2025-11-19 22:27:00+00:00,4078.19,4079.35,4078.1,4079.35,77
28,2025-11-19 22:28:00+00:00,4079.3,4080.75,4079.3,4079.52,76
29,2025-11-19 22:29:00+00:00,4079.64,4079.66,4078.19,4079.3,76
30,2025-11-19 22:30:00+00:00,4079.3,4079.71,4076.64,4077.12,81
31,2025-11-19 22:31:00+00:00,4077.15,4077.36,4076.27,4076.69,86
32,2025-11-19 22:32:00+00:00,4076.4,4076.4,4074.5,4075.22,85
33,2025-11-19 22:33:00+00:00,4075.26,4076.59,4074.57,4076.33,84
34,2025-11-19 22:34:00+00:00,4076.47,4077.97,4076.29,4077.13,82
35,2025-11-19 22:35:00+00:00,4077.13,4077.64,4076.29,4076.63,84
36,2025-11-19 22:36:00+00:00,4076.7,4078.12,4076.7,4077.95,80
37,2025-11-19 22:37:00+00:00,4078.0,4079.07,4077.63,4079.07,80
38,2025-11-19 22:38:00+00:00,4078.98,4080.47,4078.71,4079.21,82
39,2025-11-19 22:39:00+00:00,4079.34,4079.52,4077.52,4077.74,84
40,2025-11-19 22:40:00+00:00,4078.13,4078.21,4076.7,4077.06,82
41,2025-11-19 22:41:00+00:00,4077.47,4077.47,4075.26,4075.94,83
42,2025-11-19 22:42:00+00:00,4076.32,4077.36,4076.1,4076.21,86
43,2025-11-19 22:43:00+00:00,4076.2,4077.11,4075.49,4076.46,85
44,2025-11-19 22:44:00+00:00,4076.45,4077.73,4076.29,4077.06,86
45,2025-11-19 22:45:00+00:00,4077.11,4077.56,4074.86,4075.27,88
46,2025-11-19 22:46:00+00:00,4075.3,4075.47,4074.48,4074.66,87
47,2025-11-19 22:47:00+00:00,4074.68,4074.68,4073.18,4073.68,78
48,2025-11-19 22:48:00+00:00,4073.42,4073.79,4072.34,4072.98,85
49,2025-11-19 22:49:00+00:00,4073.16,4073.62,4072.38,4072.44,78
50,2025-11-19 22:50:00+00:00,4072.37,4074.63,4072.37,4073.76,84
51,2025-11-19 22:51:00+00:00,4073.68,4076.5,4073.68,4076.47,86
52,2025-11-19 22:52:00+00:00,4076.35,4076.48,4075.86,4076.1,85
53,2025-11-19 22:53:00+00:00,4076.13,4077.84,4076.13,4077.55,84
54,2025-11-19 22:54:00+00:00,4077.52,4078.28,4076.63,4076.95,90
55,2025-11-19 22:55:00+00:00,4076.04,4077.98,4075.75,4075.99,87
56,2025-11-19 22:56:00+00:00,4076.11,4076.43,4075.16,4075.96,72
57,2025-11-19 22:57:00+00:00,4076.1,4076.77,4075.69,4075.76,75
58,2025-11-19 22:58:00+00:00,4075.94,4076.27,4074.95,4075.91,83
59,2025-11-19 22:59:00+00:00,4076.08,4076.39,4075.76,4076.25,79
60,2025-11-19 23:00:00+00:00,4076.24,4076.24,4073.88,4074.63,73
61,2025-11-19 23:01:00+00:00,4074.76,4074.76,4073.06,4073.23,71
62,2025-11-19 23:02:00+00:00,4073.13,4073.58,4071.7,4073.45,76
63,2025-11-19 23:03:00+00:00,4073.43,4074.25,4072.86,4074.25,62
64,2025-11-19 23:04:00+00:00,4074.25,4074.26,4072.87,4074.17,67
65,2025-11-19 23:05:00+00:00,4074.21,4074.53,4071.9,4071.9,65
66,2025-11-19 23:06:00+00:00,4071.89,4073.66,4071.89,4073.66,57
67,2025-11-19 23:07:00+00:00,4073.66,4073.66,4072.61,4072.66,59
68,2025-11-19 23:08:00+00:00,4072.62,4073.83,4072.62,4073.6,51
69,2025-11-19 23:09:00+00:00,4073.51,4073.58,4072.52,4072.54,51
70,2025-11-19 23:10:00+00:00,4072.41,4072.64,4071.69,4071.69,72
71,2025-11-19 23:11:00+00:00,4071.58,4073.01,4071.41,4072.87,52
72,2025-11-19 23:12:00+00:00,4072.85,4073.38,4072.85,4073.11,50
73,2025-11-19 23:13:00+00:00,4073.03,4074.37,4072.9,4074.05,59
74,2025-11-19 23:14:00+00:00,4073.99,4074.19,4071.59,4072.49,47
75,2025-11-19 23:15:00+00:00,4072.27,4072.32,4065.87,4066.62,75
76,2025-11-19 23:16:00+00:00,4066.2,4070.56,4065.58,4070.56,80
77,2025-11-19 23:17:00+00:00,4070.59,4070.82,4068.16,4068.52,77
78,2025-11-19 23:18:00+00:00,4068.54,4069.39,4067.99,4067.99,65
79,2025-11-19 23:19:00+00:00,4067.98,4069.02,4067.52,4068.69,60
80,2025-11-19 23:20:00+00:00,4068.27,4070.47,4067.48,4070.47,89
81,2025-11-19 23:21:00+00:00,4070.4,4071.12,4069.23,4070.31,84
82,2025-11-19 23:22:00+00:00,4070.09,4072.35,4070.09,4072.0,72
83,2025-11-19 23:23:00+00:00,4072.11,4074.73,4071.24,4074.22,80
84,2025-11-19 23:24:00+00:00,4074.34,4076.34,4074.21,4076.24,78
85,2025-11-19 23:25:00+00:00,4076.31,4077.39,4075.0,4075.53,80
86,2025-11-19 23:26:00+00:00,4075.54,4075.54,4073.87,4074.72,74
87,2025-11-19 23:27:00+00:00,4074.56,4074.76,4074.24,4074.61,59
88,2025-11-19 23:28:00+00:00,4074.74,4075.45,4074.24,4075.42,58
89,2025-11-19 23:29:00+00:00,4075.48,4076.81,4075.42,4076.78,74
